unitid,institutionname,fein,newfein
147536,National Louis University,362167804,362167804
119605,National University,237172306,237172306
147590,National University of Health Sciences,361521940,361521940
127714,Nazarene Bible College,840576430,840576430
193584,Nazareth College,160743088,160743088
181376,Nebraska Christian College,470489031,470489031
181297,Nebraska Methodist College of Nursing & Allied Health,470724387,470724387
181446,Nebraska Wesleyan University,470376524,470376524
163532,Ner Israel Rabbinical College,520660881,520660881
214272,Neumann University,231657958,231657958
182980,New England College,20223955,20223955
217305,New England Institute of Technology,50312747,50312747
373827,New England School of Communications,43349703,43349703
430810,New Hampshire Institute of Art,20222154,20222154
208725,New Hope Christian College-Eugene,936002614,936002614
159948,New Orleans Baptist Theological Seminary,720494592,720494592
440396,New Saint Andrews College,820536794,820536794
418126,New York College of Health Professions,112705352,112705352
194091,New York Institute of Technology,111788788,111788788
194116,New York School of Interior Design,131662715,131662715
193900,New York University,135562308,135562308
218414,Newberry College,570314404,570314404
167251,Newbury College,42452884,42452884
155335,Newman University,480556716,480556716
193973,Niagara University,160755807,160755807
167260,Nichols College,42104778,42104778
461795,North American University,208825983,208825983
199209,North Carolina Wesleyan College,560686603,560686603
147660,North Central College,362169157,362169157
174437,North Central University,410706151,410706151
218441,North Greenville University,570314406,570314406
147679,North Park University,361557840,361557840
167358,Northeastern University,41679980,41679980
482705,Northeastern University Global Network,41679980,41679980
239512,Northland College,390806428,390806428
239503,Northland International University,390977529,390977529
217606,Northpoint Bible College,56015988,56015988
209409,Northwest Christian University,930433696,930433696
142461,Northwest Nazarene University,820200907,820200907
236133,Northwest University,910615846,910615846
154101,Northwestern College,420698196,420698196
174507,Northwestern Health Sciences University,410684657,410684657
120166,Northwestern Polytechnic University,942933165,942933165
147767,Northwestern University,362167817,362167817
136206,Northwood University-Florida,381624684,381624684
171492,Northwood University-Michigan,381624684,381624684
227243,Northwood University-Texas,381624684,381624684
230995,Norwich University,30179424,30179424
204468,Notre Dame College,340714689,340714689
120184,Notre Dame de Namur University,941156646,941156646
163578,Notre Dame of Maryland University,520591641,520591641
136215,Nova Southeastern University,591083502,591083502
194161,Nyack College,131740285,131740285
221254,O'More College of Design,620814498,620814498
174525,Oak Hills Christian College,470795255,470795255
152099,Oakland City University,12345678,12345678
101912,Oakwood University,630366652,630366652
204501,Oberlin College,340714363,340714363
120254,Occidental College,951667177,951667177
140696,Oglethorpe University,580568698,580568698
201964,Ohio Christian University,310971599,310971599
204617,Ohio Dominican University,314379560,314379560
206002,Ohio Mid-Western College,452706968,452706968
204635,Ohio Northern University,344429091,344429091
237640,Ohio Valley University,550419865,550419865
204909,Ohio Wesleyan University,314379585,314379585
194189,Ohr Hameir Theological Seminary,132739192,132739192
